Year,Count
1960,85707.0
1961,64495.0
1962,58315.0
1963,73237.0
1964,91588.0
1965,118891.0
1966,110864.0
1967,80904.0
1968,100963.0
1969,108770.0
1970,256295.0
1971,223991.0
1972,54895.0
1973,62928.0
1974,56167.0
1975,25336.0
1976,32792.0
1977,44946.0
1978,45832.0
1979,52137.0
1980,89189.0
1981,121921.0
1982,111722.0
1983,73251.0
1984,79617.0
1985,98327.0
1986,113061.0
1987,136421.0
1988,153330.0
1989,144042.0
1990,100093.0
1991,68847.0
1992,40767.0
1993,23833.0
1994,51941.0
1995,80456.0
1996,82965.0
1997,67661.0
1998,81310.0
1999,92900.0
2000,111186.0
2001,117552.0
2002,108852.0
2003,104437.0
2004,110072.0
2005,131371.0
2006,191985.0
2007,249873.0
2008,275773.0
2009,235628.0
2010,166752.0
2011,197657.0
2012,235776.0
2013,215823.0
2014,200177.0
2015,212350.0
2016,254648.0
2017,255023.0
2018,226412.0
2019,207142.0
2020,44447.0
2021,116768.0
2022,140972.0
2023,140232.0
2024,138510.0
Unnamed: 69,
