Time,NSW,Vic,Qld,WA,SA,Tas,NT,ACT
Jun-14,66.99,56.91,27.22,18.75,11.64,1.8,1.75,2.72
Sep-14,67.67,57.64,24.7,16.39,11.06,1.66,1.56,3.06
Dec-14,68.35,58.39,23.03,15.51,10.97,1.73,1.14,3.21
Mar-15,69.44,58.93,21.26,13.99,11.21,1.74,1.21,3.31
Jun-15,70.31,60.69,20.43,14.07,11.15,1.52,2.35,3.5
Sep-15,71.48,61.96,19.29,13.44,11.29,1.63,1.83,3.3
Dec-15,72.84,64.19,19.48,12.74,11.25,1.41,1.54,3.27
Mar-16,76.0,68.88,21.38,12.48,10.85,1.58,1.44,3.36
Jun-16,80.01,72.22,24.95,11.62,11.28,1.77,1.05,3.33
Sep-16,89.66,78.59,29.71,12.12,11.99,1.84,1.89,3.7
Dec-16,96.2,82.91,32.43,11.96,12.11,2.28,2.09,3.85
Mar-17,103.2,89.91,33.92,11.74,12.43,2.33,1.91,4.13
Jun-17,105.5,91.24,34.08,12.01,12.18,2.34,1.85,4.15
Sep-17,103.51,91.29,31.76,11.93,12.33,2.78,1.39,4.46
Dec-17,94.93,87.13,27.64,11.7,12.1,2.57,1.24,4.35
Mar-18,92.16,86.3,27.6,11.29,12.6,2.56,1.13,4.36
Jun-18,90.65,86.97,27.74,11.98,12.72,2.8,0.76,4.6
Sep-18,90.06,87.98,30.3,12.62,13.47,2.95,0.71,4.23
Dec-18,92.89,89.54,33.74,14.55,13.96,3.17,0.56,3.82
Mar-19,89.57,89.09,33.69,16.45,14.42,3.38,0.79,3.27
Jun-19,84.54,85.48,31.75,17.48,15.14,3.19,0.93,2.81
Sep-19,80.29,85.83,32.59,21.02,15.9,2.9,0.89,2.58
Dec-19,79.28,85.06,33.92,25.51,16.64,3.97,0.99,2.23
Mar-20,73.83,75.96,35.09,28.86,18.03,4.0,1.04,2.41
Jun-20,57.89,60.57,27.97,25.17,14.93,3.64,0.29,2.24
Sep-20,24.44,14.04,10.73,14.97,8.62,2.52,0.07,0.2
Dec-20,6.94,-20.37,-1.02,5.19,4.06,0.63,0.06,-0.48
Mar-21,-15.38,-51.66,-15.19,-5.43,-3.26,-0.3,-0.5,-2.65
Jun-21,-7.33,-52.99,-12.86,-5.07,-2.83,-0.32,-0.42,-3.15
Sep-21,-3.35,-37.33,-7.55,-3.48,-2.06,0.1,0.3,-2.79
Dec-21,11.9,-5.55,-0.79,-1.21,1.11,1.44,0.72,-0.77
Mar-22,48.57,39.71,16.85,6.6,9.89,2.54,1.74,1.95
Jun-22,69.11,66.05,29.62,15.34,14.32,3.35,2.34,3.39
Sep-22,117.91,108.56,50.1,30.79,22.02,4.05,2.3,6.42
Dec-22,145.61,133.06,67.64,46.28,26.18,4.3,3.06,6.96
Mar-23,162.19,147.69,78.23,60.09,27.87,4.53,3.32,7.85
Jun-23,177.1,159.42,86.01,66.61,29.31,4.76,3.89,8.39
Sep-23,183.45,164.02,90.21,70.52,29.84,4.88,4.51,8.37
Dec-23,174.68,157.32,87.97,69.1,28.76,4.72,4.47,7.95
Mar-24,163.43,149.18,83.19,65.1,26.1,4.51,4.01,7.42
Jun-24,142.47,132.86,74.93,58.08,23.27,3.82,3.64,6.52
a. Estimates from September quarter 2023 onwards are preliminary. See revision status on the methodology page.,,,,,,,,
"Source: Australian Bureau of Statistics, Overseas Migration 2023-24 financial year",,,,,,,,
