Month-year,India,China,Australia,UK,NZ
Jun-14,33.34,30.8,-19.39,12.26,7.24
Sep-14,36.63,34.11,-19.62,11.05,5.06
Dec-14,38.45,36.39,-20.73,10.29,3.23
Mar-15,38.76,38.3,-22.83,9.5,1.86
Jun-15,38.4,39.07,-23.0,9.4,0.93
Sep-15,38.46,41.97,-24.53,8.83,0.11
Dec-15,38.52,42.76,-24.07,8.74,-0.01
Mar-16,39.99,45.05,-22.43,8.97,0.31
Jun-16,40.86,45.48,-21.37,9.14,1.48
Sep-16,43.06,47.12,-18.88,9.68,2.9
Dec-16,44.86,46.72,-17.83,10.28,2.9
Mar-17,48.3,49.2,-16.67,10.18,2.53
Jun-17,49.73,50.02,-15.8,10.46,1.85
Sep-17,50.02,52.12,-14.6,10.04,1.59
Dec-17,49.54,49.28,-16.11,8.64,1.89
Mar-18,52.93,46.7,-15.46,7.86,2.39
Jun-18,55.86,44.61,-15.49,7.83,3.01
Sep-18,61.61,38.87,-16.3,8.24,3.43
Dec-18,65.88,34.61,-13.95,8.73,4.43
Mar-19,70.12,28.74,-15.64,9.0,4.33
Jun-19,73.19,20.17,-12.36,7.44,3.33
Sep-19,78.56,10.26,-8.01,7.12,3.04
Dec-19,81.27,-5.02,0.04,8.71,2.35
Mar-20,76.5,-19.37,11.67,10.32,0.97
Jun-20,59.81,-18.59,18.06,10.67,-0.36
Sep-20,32.02,-36.36,17.55,6.31,-4.2
Dec-20,12.63,-38.7,12.42,1.99,-4.44
Mar-21,-10.85,-45.67,9.57,-1.28,-3.57
Jun-21,-10.65,-50.27,7.47,-0.96,-2.15
Sep-21,-8.63,-45.12,4.99,-0.28,1.59
Dec-21,5.91,-30.15,1.71,-0.53,2.84
Mar-22,27.2,-1.84,-4.54,1.13,3.98
Jun-22,43.08,14.72,-14.54,2.4,5.34
Sep-22,66.04,45.77,-19.0,8.03,7.36
Dec-22,73.45,56.38,-22.96,14.89,9.52
Mar-23,87.91,61.74,-26.86,17.36,13.01
Jun-23,94.84,59.53,-26.63,19.3,15.94
Sep-23,98.67,55.72,-25.89,20.73,17.81
Dec-23,92.09,52.1,-23.74,21.28,20.35
Mar-24,82.14,51.34,-22.27,22.01,22.62
Jun-24,72.36,49.72,-21.54,21.2,23.62
